State,Total population,Number in poverty,Percent in poverty
Alabama,"4,807",891,18.5
Alaska,696,67,9.7
Arizona,"6,532","1,163",17.8
Arkansas,"2,852",395,13.9
California,"38,210","5,754",15.1
Colorado,"5,303",569,10.7
Connecticut,"3,637",396,10.9
Delaware,912,102,11.2
District of Columbia,647,150,23.2
Florida,"19,460","2,882",14.8
Georgia,"9,848","1,825",18.5
Hawaii,"1,338",142,10.6
Idaho,"1,610",200,12.4
Illinois,"12,650","1,720",13.6
Indiana,"6,557","1,083",16.5
Iowa,"3,076",405,13.2
Kansas,"2,760",315,11.4
Kentucky,"4,501",991,22
Louisiana,"4,534",963,21.2
Maine,"1,330",151,11.4
Maryland,"5,946",623,10.5
Massachusetts,"6,735",818,12.1
Michigan,"10,070","1,277",12.7
Minnesota,"5,349",589,11
Mississippi,"2,895",554,19.1
Missouri,"5,955","1,041",17.5
Montana,980,103,10.5
Nebraska,"1,868",196,10.5
Nevada,"2,774",401,14.5
New Hampshire,"1,301",71,5.5
New Jersey,"8,728",861,9.9
New Mexico,"2,079",535,25.8
New York,"19,340","3,337",17.3
North Carolina,"9,672","1,419",14.7
North Dakota,716,94,13.2
Ohio,"11,280","1,684",14.9
Oklahoma,"3,697",785,21.2
Oregon,"3,969",556,14
Pennsylvania,"12,800","1,432",11.2
Rhode Island,"1,032",96,9.3
South Carolina,"4,676",904,19.3
South Dakota,827,110,13.3
Tennessee,"6,272",972,15.5
Texas,"26,200","4,422",16.9
Utah,"2,923",357,12.2
Vermont,629,43,6.8
Virginia,"8,230",805,9.8
Washington,"6,877",836,12.2
West Virginia,"1,805",358,19.8
Wisconsin,"5,615",756,13.5
Wyoming,592,68,11.4
