2019,,,
State,Total population,Number in poverty,Percent in poverty
Alabama,"4,873",627,12.9
Alaska,701,72,10.2
Arizona,"7,285",725,9.9
Arkansas,"2,915",412,14.1
California,"39,380","3,980",10.1
Colorado,"5,768",535,9.3
Connecticut,"3,490",291,8.3
Delaware,971,63,6.5
District of Columbia,702,88,12.5
Florida,"21,400","2,455",11.5
Georgia,"10,360","1,249",12.1
Hawaii,"1,365",115,8.4
Idaho,"1,794",127,7.1
Illinois,"12,500","1,160",9.3
Indiana,"6,691",677,10.1
Iowa,"3,137",298,9.5
Kansas,"2,813",266,9.5
Kentucky,"4,399",599,13.6
Louisiana,"4,563",816,17.9
Maine,"1,340",140,10.4
Maryland,"6,067",424,7
Massachusetts,"6,897",521,7.5
Michigan,"9,901","1,007",10.2
Minnesota,"5,681",322,5.7
Mississippi,"2,911",560,19.2
Missouri,"6,063",568,9.4
Montana,"1,053",102,9.7
Nebraska,"1,885",165,8.7
Nevada,"3,105",323,10.4
New Hampshire,"1,351",49,3.7
New Jersey,"8,738",554,6.3
New Mexico,"2,058",315,15.3
New York,"19,070","2,382",12.5
North Carolina,"10,470","1,324",12.7
North Dakota,749,61,8.1
Ohio,"11,510","1,424",12.4
Oklahoma,"3,899",422,10.8
Oregon,"4,135",336,8.1
Pennsylvania,"12,550","1,092",8.7
Rhode Island,"1,047",96,9.2
South Carolina,"5,144",775,15.1
South Dakota,860,91,10.6
Tennessee,"6,721",879,13.1
Texas,"28,670","3,174",11.1
Utah,"3,232",236,7.3
Vermont,615,53,8.6
Virginia,"8,335",737,8.8
Washington,"7,549",527,7
West Virginia,"1,745",242,13.9
Wisconsin,"5,730",479,8.4
Wyoming,565,52,9.2
