State,Total population,Number in poverty,Percent in poverty
Alabama,"4,820",784,16.3
Alaska,703,65,9.2
Arizona,"6,728","1,156",17.2
Arkansas,"2,951",475,16.1
California,"39,080","5,441",13.9
Colorado,"5,420",538,9.9
Connecticut,"3,572",324,9.1
Delaware,958,106,11.1
District of Columbia,676,113,16.6
Florida,"20,070","3,253",16.2
Georgia,"10,100","1,833",18.1
Hawaii,"1,382",151,10.9
Idaho,"1,657",204,12.3
Illinois,"12,680","1,380",10.9
Indiana,"6,502",880,13.5
Iowa,"3,100",321,10.4
Kansas,"2,849",404,14.2
Kentucky,"4,365",851,19.5
Louisiana,"4,599",854,18.6
Maine,"1,340",165,12.3
Maryland,"5,892",566,9.6
Massachusetts,"6,777",782,11.5
Michigan,"9,852","1,259",12.8
Minnesota,"5,458",428,7.8
Mississippi,"2,947",563,19.1
Missouri,"5,946",582,9.8
Montana,"1,018",121,11.9
Nebraska,"1,858",192,10.3
Nevada,"2,864",371,13
New Hampshire,"1,293",94,7.3
New Jersey,"8,936","1,004",11.2
New Mexico,"2,036",400,19.7
New York,"19,650","2,791",14.2
North Carolina,"9,887","1,509",15.3
North Dakota,763,82,10.7
Ohio,"11,440","1,550",13.6
Oklahoma,"3,887",551,14.2
Oregon,"4,029",478,11.9
Pennsylvania,"12,560","1,542",12.3
Rhode Island,"1,044",123,11.8
South Carolina,"4,790",683,14.3
South Dakota,848,118,13.9
Tennessee,"6,605",973,14.7
Texas,"27,400","4,036",14.7
Utah,"3,004",279,9.3
Vermont,609,65,10.7
Virginia,"8,216",894,10.9
Washington,"7,193",819,11.4
West Virginia,"1,795",261,14.5
Wisconsin,"5,736",654,11.4
Wyoming,574,56,9.8
