State,Total population,Number in poverty,Percent in poverty
Alabama,"4,821",782,16.2
Alaska,708,89,12.6
Arizona,"6,878","1,108",16.1
Arkansas,"2,941",471,16
California,"39,140","5,435",13.9
Colorado,"5,502",467,8.5
Connecticut,"3,567",351,9.8
Delaware,947,110,11.6
District of Columbia,685,112,16.3
Florida,"20,520","2,659",13
Georgia,"10,270","1,580",15.4
Hawaii,"1,392",129,9.3
Idaho,"1,679",187,11.1
Illinois,"12,580","1,517",12.1
Indiana,"6,493",768,11.8
Iowa,"3,099",302,9.8
Kansas,"2,859",321,11.2
Kentucky,"4,383",667,15.2
Louisiana,"4,573",923,20.2
Maine,"1,317",167,12.7
Maryland,"5,930",424,7.1
Massachusetts,"6,775",649,9.6
Michigan,"9,875","1,091",11.1
Minnesota,"5,430",470,8.7
Mississippi,"2,943",622,21.1
Missouri,"5,878",762,13
Montana,"1,031",121,11.7
Nebraska,"1,870",179,9.6
Nevada,"2,941",298,10.1
New Hampshire,"1,316",84,6.4
New Jersey,"8,836",828,9.4
New Mexico,"2,043",364,17.8
New York,"19,460","2,314",11.9
North Carolina,"10,060","1,363",13.6
North Dakota,749,83,11.1
Ohio,"11,440","1,573",13.7
Oklahoma,"3,911",571,14.6
Oregon,"4,124",486,11.8
Pennsylvania,"12,530","1,396",11.1
Rhode Island,"1,052",119,11.4
South Carolina,"4,898",690,14.1
South Dakota,855,124,14.5
Tennessee,"6,652",988,14.9
Texas,"27,660","3,812",13.8
Utah,"3,077",264,8.6
Vermont,622,60,9.6
Virginia,"8,163",929,11.4
Washington,"7,289",800,11
West Virginia,"1,808",326,18
Wisconsin,"5,764",620,10.7
Wyoming,571,62,10.9
