State,Total population,Number in poverty,Percent in poverty
Alabama,"4,765",848,17.8
Alaska,694,82,11.9
Arizona,"6,657","1,409",21.2
Arkansas,"2,891",532,18.4
California,"38,670","6,112",15.8
Colorado,"5,376",661,12.3
Connecticut,"3,577",308,8.6
Delaware,929,103,11
District of Columbia,657,125,19
Florida,"19,690","3,282",16.7
Georgia,"9,948","1,676",16.8
Hawaii,"1,365",147,10.8
Idaho,"1,606",199,12.4
Illinois,"12,770","1,756",13.7
Indiana,"6,470",948,14.6
Iowa,"3,078",317,10.3
Kansas,"2,851",345,12.1
Kentucky,"4,299",861,20
Louisiana,"4,550","1,049",23.1
Maine,"1,300",190,14.6
Maryland,"5,934",584,9.8
Massachusetts,"6,653",902,13.6
Michigan,"9,893","1,462",14.8
Minnesota,"5,417",447,8.3
Mississippi,"2,961",654,22.1
Missouri,"5,950",620,10.4
Montana,"1,008",121,12
Nebraska,"1,873",221,11.8
Nevada,"2,819",478,17
New Hampshire,"1,318",95,7.2
New Jersey,"8,938","1,013",11.3
New Mexico,"2,030",406,20
New York,"19,660","2,755",14
North Carolina,"9,823","1,678",17.1
North Dakota,731,71,9.7
Ohio,"11,510","1,792",15.6
Oklahoma,"3,728",647,17.3
Oregon,"3,955",570,14.4
Pennsylvania,"12,620","1,581",12.5
Rhode Island,"1,046",119,11.3
South Carolina,"4,764",788,16.5
South Dakota,846,109,12.8
Tennessee,"6,496","1,122",17.3
Texas,"26,680","4,364",16.4
Utah,"2,928",298,10.2
Vermont,615,57,9.3
Virginia,"8,257",842,10.2
Washington,"7,079",852,12
West Virginia,"1,822",376,20.6
Wisconsin,"5,742",628,10.9
Wyoming,572,55,9.7
